judge_tag,judge_label,variant,variant_label,stories_total,stories_failed,stories_missing,mean_vtc,mean_action,mean_scene,mean_object_class,mean_color,mean_prompt_eval_min,mean_subject_consistency,mean_background_consistency,mean_motion_smoothness,mean_temporal_flickering,mean_continuity_eval_min
qwen25vl7b,Qwen2.5-VL-7B-Instruct,simple_t2v,Simple T2V,4,0,0,3.5,1.75,1.0,2.0,2.0,8.180083110695705,0.7695567434499316,0.9134617917569846,0.9866354027387747,0.9831656287698185,1.1077891543255343
qwen25vl7b,Qwen2.5-VL-7B-Instruct,core_t2v,Core T2V,4,0,0,1.75,2.25,2.25,2.75,2.25,14.15781811621855,0.7692787924701588,0.9191326516212066,0.9840361700514361,0.9801406103021959,1.0526139171308992
qwen25vl7b,Qwen2.5-VL-7B-Instruct,agentic_t2v,Agentic T2V,4,0,0,3.0,2.0,1.25,2.25,2.25,44.76369949898799,0.6816355790261015,0.8594579678280045,0.9851968060158619,0.9797604715122896,0.9947018630278762
qwen25vl7b,Qwen2.5-VL-7B-Instruct,core_i2v,Core I2V,4,0,0,2.75,2.0,1.75,2.5,2.75,19.2553792676122,0.642981284074593,0.7915034358441715,0.9723659104630497,0.9628677709429871,1.0970970787709424
qwen25vl7b,Qwen2.5-VL-7B-Instruct,agentic_i2v,Agentic I2V,4,0,0,3.25,3.0,1.25,2.25,2.0,35.15081503069378,0.6296446275357193,0.7755948987310333,0.9651292382840019,0.9490224384794048,1.0674162837768866
smolvlm,SmolVLM-Instruct,simple_t2v,Simple T2V,0,4,0,,,,,,,0.7695567434499316,0.9134617917569846,0.9866354027387747,0.9831656287698185,1.1077891543255343
smolvlm,SmolVLM-Instruct,core_t2v,Core T2V,0,4,0,,,,,,,0.7692787924701588,0.9191326516212066,0.9840361700514361,0.9801406103021959,1.0526139171308992
smolvlm,SmolVLM-Instruct,agentic_t2v,Agentic T2V,0,4,0,,,,,,,0.6816355790261015,0.8594579678280045,0.9851968060158619,0.9797604715122896,0.9947018630278762
smolvlm,SmolVLM-Instruct,core_i2v,Core I2V,0,4,0,,,,,,,0.642981284074593,0.7915034358441715,0.9723659104630497,0.9628677709429871,1.0970970787709424
smolvlm,SmolVLM-Instruct,agentic_i2v,Agentic I2V,0,4,0,,,,,,,0.6296446275357193,0.7755948987310333,0.9651292382840019,0.9490224384794048,1.0674162837768866
llava15_7b,LLaVA-1.5-7B-HF,simple_t2v,Simple T2V,0,4,0,,,,,,,0.7695567434499316,0.9134617917569846,0.9866354027387747,0.9831656287698185,1.1077891543255343
llava15_7b,LLaVA-1.5-7B-HF,core_t2v,Core T2V,0,4,0,,,,,,,0.7692787924701588,0.9191326516212066,0.9840361700514361,0.9801406103021959,1.0526139171308992
llava15_7b,LLaVA-1.5-7B-HF,agentic_t2v,Agentic T2V,0,4,0,,,,,,,0.6816355790261015,0.8594579678280045,0.9851968060158619,0.9797604715122896,0.9947018630278762
llava15_7b,LLaVA-1.5-7B-HF,core_i2v,Core I2V,0,4,0,,,,,,,0.642981284074593,0.7915034358441715,0.9723659104630497,0.9628677709429871,1.0970970787709424
llava15_7b,LLaVA-1.5-7B-HF,agentic_i2v,Agentic I2V,0,4,0,,,,,,,0.6296446275357193,0.7755948987310333,0.9651292382840019,0.9490224384794048,1.0674162837768866
